Identifiant station,Nom station,Station en fonctionnement,Capacité de la station,Nombre bornettes libres,Nombre total vélos disponibles,Vélos mécaniques disponibles,Vélos électriques disponibles,Borne de paiement disponible,Retour vélib possible,Actualisation de la donnée,Coordonnées géographiques,Nom communes équipées,Code INSEE communes équipées
14139,Pierre Larousse - Raymond Losserand,True,30,23,6,2,4,True,True,2025-11-05 09:30:50+00:00,"(48.83059564231877, 2.3119183257222176)",Paris,75056
19037,Belleville - Porte des Lilas,True,32,28,0,0,0,True,True,2025-11-05 09:30:54+00:00,"(48.87660391892763, 2.404769691129476)",Paris,75056
15055,Vasco de Gama,True,54,1,51,50,1,True,True,2025-11-05 09:34:19+00:00,"(48.83671783466264, 2.283664085650799)",Paris,75056
6103,Mézières - Rennes,True,55,32,23,15,8,True,True,2025-11-05 09:32:27+00:00,"(48.85023459321703, 2.3303819820284843)",Paris,75056
10015,Lucien Sampaix - Récollets,True,46,26,19,17,2,True,True,2025-11-05 09:32:02+00:00,"(48.874330377560476, 2.3621229082345963)",Paris,75056
21019,Edouard Vaillant - Paul-Adolphe Souriau,True,28,0,28,22,6,True,True,2025-11-05 09:33:08+00:00,"(48.834845858829, 2.2479459643364)",Boulogne-Billancourt,92012
21308,Bara - Henri Farman,True,58,1,57,34,23,True,True,2025-11-05 09:33:41+00:00,"(48.833218027457846, 2.2677567601203923)",Issy-les-Moulineaux,92040
21105,Morice - Général Leclerc,True,25,14,11,6,5,True,True,2025-11-05 09:30:27+00:00,"(48.90245471981591, 2.3128929734230046)",Clichy,92024
15038,Place Adolphe Cherioux - Vaugirard,True,63,48,14,10,4,True,True,2025-11-05 09:34:20+00:00,"(48.83959442800459, 2.3010657727718353)",Paris,75056
18032,Porte de Clignancourt.,True,56,44,10,10,0,True,True,2025-11-05 09:31:23+00:00,"(48.897488, 2.343996)",Paris,75056
21032,Sèvres-Gallieni,True,27,13,14,10,4,True,True,2025-11-05 09:34:02+00:00,"(48.837809408957, 2.2281519323587)",Boulogne-Billancourt,92012
17124,Porte de Saint-Ouen - Henri Huchard,True,26,6,19,12,7,True,True,2025-11-05 09:33:00+00:00,"(48.898708366365064, 2.3295360803604126)",Paris,75056
20021,Indre - Prairies,True,38,33,3,0,3,True,True,2025-11-05 09:33:21+00:00,"(48.86254398506782, 2.403290458023548)",Paris,75056
44012,Génie - Mozart,True,19,16,3,2,1,True,True,2025-11-05 09:27:29+00:00,"(48.794902381218904, 2.3734183609485626)",Vitry-sur-Seine,94081
7005,Raspail - Bac,True,52,0,52,24,28,True,True,2025-11-05 09:34:23+00:00,"(48.855628721101, 2.3256602883339)",Paris,75056
22101,Gare Routière de Saint Cloud,True,31,13,17,13,4,True,True,2025-11-05 09:34:25+00:00,"(48.84288183896324, 2.222245037555695)",Saint-Cloud,92064
6018,Michelet - Assas,True,18,6,12,4,8,True,True,2025-11-05 09:32:03+00:00,"(48.842741502832, 2.3350211977959)",Paris,75056
13016,Primo Levi - Frigos,True,34,4,30,23,7,True,True,2025-11-05 09:32:31+00:00,"(48.83094844846017, 2.37965351592796)",Paris,75056
27008,Labouret - Saint-Denis,True,24,4,20,10,10,True,True,2025-11-05 09:34:25+00:00,"(48.924066621513, 2.2539156570765)",Colombes,92025
13043,Dunois - Clisson,True,51,33,5,3,2,True,True,2025-11-05 09:32:22+00:00,"(48.832294, 2.3674523)",Paris,75056
19109,Tanger - Place du Maroc,True,19,17,2,1,1,True,True,2025-11-05 09:27:52+00:00,"(48.8862524447104, 2.3689296841621403)",Paris,75056
2009,Filles Saint-Thomas - Place de la Bourse,True,58,0,57,23,34,True,True,2025-11-05 09:32:02+00:00,"(48.868899890853, 2.3397543845203)",Paris,75056
31019,Vincennes - Douy-Delcupe,True,38,36,2,0,2,True,True,2025-11-05 09:30:22+00:00,"(48.85493692155721, 2.436049282550812)",Montreuil,93048
44102,Verdun - Adrien Damalix,True,26,15,11,8,3,True,True,2025-11-05 09:29:53+00:00,"(48.8222334178559, 2.4215328320860863)",Saint-Maurice,94069
32014,Place du Cornillon - Stade de France,True,34,8,24,12,12,True,True,2025-11-05 09:32:57+00:00,"(48.92540695835961, 2.3644426837563515)",Saint-Denis,93066
9115,Milton - Manuel,True,22,19,2,1,1,True,True,2025-11-05 09:26:26+00:00,"(48.878249, 2.341181)",Paris,75056
17027,Place du Maréchal Juin - Péreire,True,46,30,14,6,8,True,True,2025-11-05 09:34:14+00:00,"(48.885263, 2.298286)",Paris,75056
16032,Eglise d'Auteuil,True,21,11,10,1,9,True,True,2025-11-05 09:33:53+00:00,"(48.84749841771691, 2.26848387135299)",Paris,75056
31016,Lucie Aubrac - Franklin,True,36,33,3,2,1,True,True,2025-11-05 09:32:44+00:00,"(48.86223916006812, 2.4435862898826604)",Montreuil,93048
22001,Château - Bineau,True,23,15,6,1,5,True,True,2025-11-05 09:33:49+00:00,"(48.890404028589806, 2.270106375217438)",Neuilly-sur-Seine,92051
51003,Hôtel de Ville d'Argenteuil,True,30,28,2,0,2,True,True,2025-11-05 09:25:28+00:00,"(48.946504, 2.2496396)",Argenteuil,95018
18025,Mairie du 18ème,True,40,37,2,0,2,True,True,2025-11-05 09:29:49+00:00,"(48.892939296937605, 2.3445510864257812)",Paris,75056
19039,Edouard Pailleron - Simon Bolivar,True,24,22,1,0,1,True,True,2025-11-05 09:33:30+00:00,"(48.87979886049996, 2.374839261174202)",Paris,75056
20027,Porte de Ménilmontant,True,15,14,1,0,1,True,True,2025-11-05 09:31:26+00:00,"(48.8691543609174, 2.40932246879487)",Paris,75056
21003,Jean Jaurès - Jean Baptiste Clément,True,39,37,2,2,0,True,True,2025-11-05 09:29:07+00:00,"(48.84576261454011, 2.2369650006294255)",Boulogne-Billancourt,92012
14122,Colonel Monteil - Brune,True,19,13,6,0,6,True,True,2025-11-05 09:30:01+00:00,"(48.82650293311, 2.3092747998272)",Paris,75056
17122,Bridaine - Lamandé,True,29,28,0,0,0,True,True,2025-11-05 09:32:47+00:00,"(48.8862074, 2.3206239)",Paris,75056
15108,Lourmel - Marie Skobtsov,True,22,12,9,4,5,True,True,2025-11-05 09:32:07+00:00,"(48.844974, 2.287283)",Paris,75056
9023,Laffitte - Italiens,True,33,1,32,15,17,True,True,2025-11-05 09:34:15+00:00,"(48.871815737396, 2.3372015478451)",Paris,75056
19040,Belleville - Télégraphe,True,41,41,0,0,0,True,True,2025-11-05 09:32:13+00:00,"(48.8756045, 2.3995549)",Paris,75056
16123,Mahatma Gandhi,True,26,2,21,18,3,True,True,2025-11-05 09:33:51+00:00,"(48.876356, 2.264205)",Paris,75056
17047,Courcelles - Pierre Demours,True,26,6,20,14,6,True,True,2025-11-05 09:33:49+00:00,"(48.883769733273496, 2.29858466343129)",Paris,75056
8051,Batignolles - Rome,True,15,10,4,1,3,True,True,2025-11-05 09:34:22+00:00,"(48.881823370567, 2.3202589899302)",Paris,75056
17121,Square des Epinettes,True,20,19,1,0,1,True,True,2025-11-05 09:33:12+00:00,"(48.89383909781389, 2.325953990221024)",Paris,75056
31007,Paris - Désiré Préaux,True,49,43,6,2,4,True,True,2025-11-05 09:33:24+00:00,"(48.85742876694898, 2.4323049187660217)",Montreuil,93048
18109,Pajol - Riquet,True,47,45,1,0,1,True,True,2025-11-05 09:33:32+00:00,"(48.88960028134536, 2.3628534749150276)",Paris,75056
41204,République - Danton,True,20,19,0,0,0,True,True,2025-11-05 09:33:10+00:00,"(48.85249172181667, 2.462034523487091)",Fontenay-sous-Bois,94033
19038,Lassus - Delouvain,True,20,17,3,0,3,True,True,2025-11-05 09:32:57+00:00,"(48.8755044846, 2.3890327325519)",Paris,75056
17046,Mac-Mahon - Brey,True,25,10,14,5,9,True,True,2025-11-05 09:31:41+00:00,"(48.877532084130166, 2.294512536052928)",Paris,75056
18029,Emile Blemont - Poteau,True,39,36,2,0,2,True,True,2025-11-05 09:31:54+00:00,"(48.8943782, 2.3415122)",Paris,75056
19009,Cité des Sciences et de l'Industrie,True,30,19,11,7,4,True,True,2025-11-05 09:29:42+00:00,"(48.89659571178903, 2.384599149227142)",Paris,75056
21703,Square du Carrefour de l'Insurrection,True,23,20,3,0,3,True,True,2025-11-05 09:32:15+00:00,"(48.820864559770676, 2.291113436222077)",Vanves,92075
35017,Toffier Decaux - Cartier Bresson,True,18,15,3,1,2,True,True,2025-11-05 09:30:13+00:00,"(48.90165072551549, 2.4017545580863957)",Pantin,93055
16021,François Ponsard - La Muette,True,23,13,9,7,2,True,True,2025-11-05 09:33:57+00:00,"(48.8583666, 2.2744515)",Paris,75056
20118,Orteaux - Mouraud,True,24,23,1,0,1,True,True,2025-11-05 09:27:00+00:00,"(48.85558642847872, 2.408762907764669)",Paris,75056
9117,Bellefond - Maubeuge,True,31,26,3,0,3,True,True,2025-11-05 09:33:30+00:00,"(48.878255397645, 2.3452642187476)",Paris,75056
9031,Provence - Chaussée d'Antin,True,25,1,20,12,8,True,True,2025-11-05 09:32:42+00:00,"(48.87428447542072, 2.332976511564311)",Paris,75056
15035,Place Etienne Pernet,True,43,20,20,17,3,True,True,2025-11-05 09:34:22+00:00,"(48.84243457133779, 2.2921819612383847)",Paris,75056
20023,Pelleport - Belgrand,True,15,14,1,0,1,True,True,2025-11-05 09:26:38+00:00,"(48.86500081847653, 2.403980836377493)",Paris,75056
10020,Chabrol - d'Hauteville,True,11,3,8,2,6,True,True,2025-11-05 09:33:38+00:00,"(48.877018388033, 2.3513179644942)",Paris,75056
14002,Edgar Quinet - Raspail,True,46,43,3,0,3,True,True,2025-11-05 09:34:17+00:00,"(48.83940266673835, 2.32971478253603)",Paris,75056
11041,Square Saint-Ambroise,True,43,32,10,3,7,True,True,2025-11-05 09:31:50+00:00,"(48.860934, 2.375841)",Paris,75056
18049,Porte d'Aubervilliers,True,55,32,21,14,7,True,True,2025-11-05 09:34:22+00:00,"(48.89859661942376, 2.3689722642302513)",Paris,75056
31703,Sadi Carnot - François Mitterrand,True,27,26,1,0,1,True,True,2025-11-05 09:30:52+00:00,"(48.87532687671517, 2.4241617321968083)",Bagnolet,93006
18113,Lepic - Armée d'Orient,True,24,22,2,0,2,True,True,2025-11-05 09:29:39+00:00,"(48.887536403814, 2.3343077301979)",Paris,75056
35003,Gabrielle Josserand - Edouard Vaillant,True,25,18,5,4,1,True,True,2025-11-05 09:33:37+00:00,"(48.90271566255436, 2.3933270573616032)",Pantin,93055
34010,Hôtel de Ville de Saint-Ouen,True,48,37,11,7,4,True,True,2025-11-05 09:34:04+00:00,"(48.911380185786, 2.3340076807601)",Saint-Ouen-sur-Seine,93070
21014,Hameau Fleuri - Marché,True,22,0,22,18,4,True,True,2025-11-05 09:28:14+00:00,"(48.831448892608314, 2.2412404417991643)",Boulogne-Billancourt,92012
15031,Théâtre - Lourmel,True,53,17,35,31,4,True,True,2025-11-05 09:33:56+00:00,"(48.8482070397636, 2.2898658737540245)",Paris,75056
11006,Ledru-Rollin - Place du Père Chaillet,True,37,29,6,1,5,True,True,2025-11-05 09:33:42+00:00,"(48.856433706943704, 2.379020587761426)",Paris,75056
5121,Square René Viviani - Montebello,True,47,14,33,28,5,True,True,2025-11-05 09:32:15+00:00,"(48.851904891406, 2.3478421568871)",Paris,75056
1120,Lavandieres Sainte Opportune - Rivoli,True,27,16,8,7,1,True,True,2025-11-05 09:33:24+00:00,"(48.859279702476, 2.3466217517853)",Paris,75056
47005,Ecole Vétérinaire,True,36,1,35,26,9,True,True,2025-11-05 09:34:21+00:00,"(48.81488859822486, 2.4224362157778994)",Maisons-Alfort,94046
9026,Jean-Baptiste Pigalle - La Bruyere,True,17,16,1,1,0,True,True,2025-11-05 09:33:09+00:00,"(48.87939826447722, 2.333709173337285)",Paris,75056
19127,Aubervilliers - Curial,True,23,21,1,0,1,True,True,2025-11-05 09:30:13+00:00,"(48.89088305227546, 2.3688579350709915)",Paris,75056
